"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"40","WBGene00000742","T10E10.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-169 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"41","WBGene00000743","T10E10.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-170 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"42","WBGene00000745","F38B6.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-172 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"43","WBGene00000759","E03G2.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-186 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"44","WBGene00000770","C40H1.1","mRNA functions","mRNA functions: processing","mRNA functions: processing: polyadenylation","cpb-1 is an ortholog of human CPEB3 (cytoplasmic polyadenylation element binding protein 3) and CPEB4 (cytoplasmic polyadenylation element binding protein 4)\; is predicted to have mRNA 3'-UTR binding activity\; is involved in meiotic cell cycle and spermatogenesis\; localizes to the cytoplasm\; is expressed in the germ line."
"45","WBGene00000778","D1069.2","Unassigned","Unassigned","Unassigned","cpn-2 is an ortholog of human CNN3, TAGLN, and TAGLN2\; human TAGLN2 exhibits cadherin binding activity."
"46","WBGene00000781","C52E4.1","Proteolysis general","Proteolysis general: cysteine","Proteolysis general: cysteine: cathepsin","cpr-1 is an ortholog of human CTSB (cathepsin B)\; is predicted to have cysteine-type peptidase activity\; is expressed in the intestine and the male."
"47","WBGene00000784","F44C4.3","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: cathepsin","cpr-4 is an ortholog of human CTSB (cathepsin B)\; exhibits cysteine-type endopeptidase activity\; is involved in cellular response to UV, cellular response to gamma radiation, and proteolysis involved in cellular protein catabolic process\; localizes to the extracellular region."
"48","WBGene00000799","K04H4.6","Development","Development: apoptosis","Development: apoptosis","crn-6 is an ortholog of human DNASE2B\; exhibits deoxyribonuclease II activity\; is involved in apoptotic DNA fragmentation\; is expressed in the seam cell."
"49","WBGene00000853","M142.2","Extracellular material","Extracellular material: cuticlin","Extracellular material: cuticlin","cut-6 localizes to the alae of collagen and cuticulin-based cuticle extracellular matrix\; is expressed in the hypodermis."
"50","WBGene00000882","F42G9.2","Chaperone","Chaperone: cyclophilin","Chaperone: cyclophilin","cyn-6 is an ortholog of human PPIB (peptidylprolyl isomerase B)\; is predicted to have peptidyl-prolyl cis-trans isomerase activity\; is expressed in the intestine\; human orthologs of this gene are implicated in osteogenesis imperfecta type 9."
"51","WBGene00000893","ZC250.1","Chaperone","Chaperone: cyclophilin","Chaperone: cyclophilin","cyn-17 is predicted to have peptidyl-prolyl cis-trans isomerase activity."
"52","WBGene00000902","F31F6.5","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","daf-6 is an ortholog of human PTCHD1 and PTCHD4\; is involved in several processes, including anatomical structure morphogenesis, molting cycle, and negative regulation of transcription by RNA polymerase II\; localizes to the cytoplasmic vesicle and plasma membrane\; is expressed in several tissues, including the alimentary system, the epithelial system, the excretory system, the nervous system, and the reproductive system."
"53","WBGene00001063","M01E10.2","Extracellular material","Extracellular material: cuticlin","Extracellular material: cuticlin","dpy-1 is involved in body morphogenesis and positive regulation of growth."
"54","WBGene00001064","T14B4.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","dpy-2 is an ortholog of human COL5A1 (collagen type V alpha 1 chain), MARCO, and COL11A1 (collagen type XI alpha 1 chain)\; is predicted to be a structural constituent of collagen and cuticulin-based cuticle\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle, post-embryonic body morphogenesis, and regulation of growth\; is expressed in head neurons and the pharynx."
"55","WBGene00001066","Y41E3.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","dpy-4 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle."
"56","WBGene00001068","F16F9.2","Extracellular material","Extracellular material: PGI","Extracellular material: PGI","dpy-6 exhibits calmodulin binding activity."
"57","WBGene00001069","F46C8.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","dpy-7 is an ortholog of human COL22A1 (collagen type XXII alpha 1 chain), COL27A1 (collagen type XXVII alpha 1 chain), and SFTPD (surfactant protein D)\; is a structural constituent of collagen and cuticulin-based cuticle\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle and post-embryonic body morphogenesis\; localizes to the annular furrow extracellular matrix\; is expressed in the epithelial system and the ventral cord blast cell."
"58","WBGene00001070","C31H2.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","dpy-8 is predicted to be a structural constituent of cuticle\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle."
"59","WBGene00001071","T21D12.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","dpy-9 is predicted to be a structural constituent of cuticle."
"60","WBGene00001242","C40H1.4","Metabolism","Metabolism: lipid","Metabolism: lipid: fatty acid","elo-4 is an ortholog of human ELOVL3 and ELOVL6\; is predicted to have transferase activity, transferring acyl groups other than amino-acyl groups."
"61","WBGene00001243","F41H10.7","Metabolism","Metabolism: lipid","Metabolism: lipid: fatty acid","elo-5 is an ortholog of human ELOVL3 and ELOVL6\; is predicted to have transferase activity, transferring acyl groups other than amino-acyl groups\; is expressed in amphid neurons and the intestine."
"62","WBGene00001428","C05C8.3","Chaperone","Chaperone: cyclophilin","Chaperone: cyclophilin","fkb-3 is an ortholog of human FKBP10 (FKBP prolyl isomerase 10) and FKBP9 (FKBP prolyl isomerase 9)\; is predicted to have peptidyl-prolyl cis-trans isomerase activity\; is expressed in the hypodermis."
"63","WBGene00001714","Y47D7A.5","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grl-5 is expressed in the hypodermis\; is predicted to encode a protein with the following domain: Ground-like domain."
"64","WBGene00001879","F45F2.3","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-5 is an ortholog of human HIST1H4H (histone cluster 1 H4 h), HIST1H4I (histone cluster 1 H4 i), and HIST1H4K (histone cluster 1 H4 k)\; is predicted to have DNA binding activity and protein heterodimerization activity."
"65","WBGene00004127","F52D1.3","Unassigned","Unassigned","Unassigned: prion domain","abu-12 is enriched in the OLL, the PVD, and the hypodermis based on microarray and tiling array studies\; is affected by several genes including daf-16, daf-12, and dpy-10 based on microarray, tiling array, and RNA-seq studies\; is affected by eleven chemicals including hydrogen sulfide, methylmercury hydroxide, and 1-methylnicotinamide based on microarray and RNA-seq studies."
"66","WBGene00004224","F55F8.1","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","ptr-10 is an ortholog of human PTCHD1 and PTCHD4\; is involved in molting cycle\; is expressed in the interfacial epithelial cell, the nervous system, and the sensillum."
"67","WBGene00006947","ZK1290.12","Development","Development: somatic","Development: somatic","wrt-1 is predicted to have peptidase activity\; is expressed in the hyp10, the hyp6, the hyp7 syncytium, the hyp8, and the hyp9."
"68","WBGene00006950","ZK678.5","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","wrt-4 is predicted to have peptidase activity\; is expressed in the hyp10, the hyp6, the hyp7 syncytium, the hyp8, and the hyp9."
"69","WBGene00007533","C12C8.2","Metabolism","Metabolism: 1CC","Metabolism: 1CC: transsulfuration","cbl-1 is predicted to have lyase activity and pyridoxal phosphate binding activity."
"70","WBGene00007536","C12D8.5","Metabolism","Metabolism: lipid","Metabolism: lipid: sterol","daf-36 is predicted to have 2 iron, 2 sulfur cluster binding activity, metal ion binding activity, and oxidoreductase activity\; localizes to the cytoplasm\; is expressed in the hmc, the intestine, the nervous system, and the seam cell."
"71","WBGene00007552","C13C12.2","Unassigned","Unassigned","Unassigned: regulated by multiple stresses","C13C12.2 is enriched in several tissues, including the alimentary system, the hypodermis, the nervous system, and the somatic gonad precursor based on microarray, tiling array, and RNA-seq studies\; is affected by several genes including daf-16, let-60, and daf-12 based on microarray, tiling array, and RNA-seq studies\; is affected by thirteen chemicals including Ethanol, D-glucose, and Alovudine based on RNA-seq and microarray studies."
"72","WBGene00007560","C14A4.9","Unassigned","Unassigned","Unassigned","C14A4.9 is enriched in the germline precursor cell, the hypodermis, and the intestine based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, age-1, and skn-1 based on microarray, proteomic, and RNA-seq studies\; is affected by seventeen chemicals including methylmercury hydroxide, 1-methylnicotinamide, and methylmercuric chloride based on RNA-seq and microarray studies."
"73","WBGene00007586","C14C10.3","Unassigned","Unassigned","Unassigned","ril-2 is enriched in the body wall muscle cell, the coelomocyte, the excretory cell, the intestine, and the reproductive system based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, tiling array, and RNA-seq studies\; is affected by eight chemicals including Cry5B, Alovudine, and stavudine based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Batten's disease protein Cln3."
"74","WBGene00007592","C14H10.2","Signaling","Signaling: Janus","Signaling: Janus","C14H10.2 is an ortholog of human JAKMIP1, JAKMIP2, and JAKMIP3\; human JAKMIP1 exhibits GABA receptor binding activity and RNA binding activity."
"75","WBGene00007593","C14H10.3","Unassigned","Unassigned","Unassigned","C14H10.3 is an ortholog of human PDXDC1\; is predicted to have catalytic activity."
"76","WBGene00007600","C15C6.1","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned","C15C6.1 is enriched in the germline precursor cell and the hypodermis based on tiling array studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, RNA-seq, and tiling array studies\; is affected by twelve chemicals including 1-methylnicotinamide, methylmercuric chloride, and Rotenone based on RNA-seq and microarray studies."
"77","WBGene00007605","C15C8.3","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: cathepsin","hrg-7 is an ortholog of human PGA4, NAPSA, and PGA5\; is predicted to have aspartic-type endopeptidase activity."
"78","WBGene00007617","C15H11.9","Ribosome","Ribosome: subunit","Ribosome: subunit","rrbs-1 is an ortholog of human RRS1\; human RRS1 exhibits 5S rRNA binding activity."
"79","WBGene00009229","F28G4.4","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned","F28G4.4 is affected by several genes including sir-2.1, pmk-1, and lin-35 based on microarray, tiling array, and RNA-seq studies\; is affected by methylmercuric chloride, resveratrol, and Colistin based on microarray studies\; is predicted to encode a protein with the following domain: Nucleotide-diphospho-sugar transferase."
"80","WBGene00009806","F47B8.5","Unassigned","Unassigned","Unassigned: regulated by multiple stresses","F47B8.5 is enriched in the hypodermis based on RNA-seq studies\; is affected by several genes including daf-16, daf-12, and lin-15B based on microarray and RNA-seq studies\; is affected by four chemicals including methylmercury hydroxide, 1-methylnicotinamide, and stavudine based on RNA-seq studies\; is predicted to encode a protein with the following domain: Methyltransferase FkbM."
"81","WBGene00013113","Y51H4A.19","Pseudogene","Pseudogene","Pseudogene","Y51H4A.19 is affected by several genes including daf-16, pgl-1, and glh-1 based on RNA-seq and microarray studies\; is affected by Cadmium based on microarray studies."
"82","WBGene00013171","Y53F4B.25","Unassigned","Unassigned","Unassigned","Y53F4B.25 is enriched in the germline precursor cell, the hypodermis, and the nervous system based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, tiling array, and RNA-seq studies\; is affected by nine chemicals including Ethanol, methylmercury hydroxide, and methylmercuric chloride based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Domain of unknown function DB."
"83","WBGene00014306","F07C6.5","Non-coding RNA","Non-coding RNA: snRNA","Non-coding RNA: snRNA","F07C6.5 is affected by Ethanol based on RNA-seq studies."
"84","WBGene00017560","F18C5.5","Unassigned","Unassigned","Unassigned: regulated by multiple stresses","F18C5.5 is enriched in the OLL, the PVD, the germline precursor cell, and the hypodermis based on microarray, tiling array, and RNA-seq studies\; is affected by several genes including daf-16, daf-12, and lin-4 based on microarray, tiling array, and RNA-seq studies\; is affected by thirteen chemicals including methylmercury hydroxide, methylmercuric chloride, and manganese chloride based on RNA-seq and microarray studies."
"85","WBGene00018618","F48G7.7","Unassigned","Unassigned","Unassigned","F48G7.7 is affected by several genes including daf-16, clk-1, and sir-2.1 based on tiling array, microarray, and RNA-seq studies\; is affected by single-walled carbon nanotube, adsorbable organic bromine compound, and Sirolimus based on microarray studies\; is predicted to encode a protein with the following domain: ShKT domain."
"86","WBGene00018630","F49D11.6","Extracellular material","Extracellular material: chondroitin sulfotransferase","Extracellular material: chondroitin sulfotransferase","F49D11.6 is predicted to have chondroitin 4-sulfotransferase activity."
"87","WBGene00019948","R08C7.4","Unassigned","Unassigned","Unassigned: Glycosyltransferase family A ","R08C7.4 is enriched in the hypodermis based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, daf-12, and clk-1 based on tiling array, microarray, and RNA-seq studies\; is affected by seven chemicals including methylmercuric chloride, Tunicamycin, and stavudine based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: Glycosyltransferase family 92."
"88","WBGene00021249","Y22D7AL.11","Protein modification","Protein modification: carbohydrate","Protein modification: carbohydrate","Y22D7AL.11 is an ortholog of human FKTN\; human orthologs of this gene are implicated in dilated cardiomyopathy 1X and muscular dystrophy (multiple)\; is predicted to encode a protein with the following domain: Fukutin-related."
"89","WBGene00021479","Y39H10A.2","Metabolism","Metabolism: lipid","Metabolism: lipid: o-acyl transferase","oac-55 is predicted to have transferase activity, transferring acyl groups other than amino-acyl groups."
"90","WBGene00021804","Y53G8AM.4","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned","Y53G8AM.4 is expressed in amphid neurons and phasmid neurons\; is predicted to encode a protein with the following domain: Zinc finger, RING\/FYVE\/PHD-type."
"91","WBGene00044564","ZK813.6","Proteolysis general","Proteolysis general: inhibitor","Proteolysis general: inhibitor: serine","ZK813.6 is an ortholog of human SPINK5 (serine peptidase inhibitor, Kazal type 5) and SPINK6 (serine peptidase inhibitor, Kazal type 6)\; human SPINK5 exhibits serine-type endopeptidase inhibitor activity."
"92","WBGene00045045","Y45F10B.17","Pseudogene","Pseudogene","Pseudogene","Y45F10B.17 is affected by clk-1 based on microarray studies."
"93","WBGene00045786",NA,NA,NA,NA,NA
"94","WBGene00219412","ZK381.62","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned","ZK381.62 is affected by daf-12, daf-16, and cox-5B based on RNA-seq studies\; is affected by Zidovudine based on RNA-seq studies."
"95","WBGene00219446","C06H5.13","Unassigned","Unassigned","Unassigned","N.A."
"96","WBGene00219447","C06H5.14","Unassigned","Unassigned","Unassigned","C06H5.14 is affected by daf-2 based on RNA-seq studies\; is affected by Mianserin and Zidovudine based on RNA-seq studies."
"97","WBGene00219652","C18G1.10","Non-coding RNA","Non-coding RNA: linc","Non-coding RNA: linc","N.A."
"98","WBGene00219810","C11H1.12","Non-coding RNA","Non-coding RNA: miRNA","Non-coding RNA: miRNA","N.A."
"99","WBGene00219863","C54G4.16","Non-coding RNA","Non-coding RNA: snoRNA","Non-coding RNA: snoRNA","N.A."
"100","WBGene00219864","C56G2.20","Non-coding RNA","Non-coding RNA: snoRNA","Non-coding RNA: snoRNA","C56G2.20 is affected by cep-1 based on RNA-seq studies."
"101","WBGene00235324","F10G2.10","Unassigned","Unassigned","Unassigned","F10G2.10 is affected by sir-2.1 based on microarray studies\; is predicted to encode a protein with the following domain: Domain of unknown function DUF19."
